english,klingon
He had his younger sister help him paint the wall of his room.,pa'Daj tlhoy' DIjtaHvIS boQ be'nI'HomDaj 'e' raD.
He had his older sister help him paint the wall of his room.,pa'Daj tlhoy' DIjtaHvIS boQ be'nI''a'Daj 'e' raD.
I have a pair of shoes.,waq chang'eng vIghaj.
Now I am free.,DaH jItlhab.
I'm against the war.,noH vIqaD.
I'm against the marriage.,tlhogh vIqaD.
I'm afraid of owls.,ramjepmey vIHaj.
Would you like to become a trusted user?,lo'wI' voqlu'bogh Damoj DaneH'a'?
I would like to have some more water.,latlh bIQ vIneH.
"What does ""Tatoeba"" mean?",nuq 'oS «Tatoeba»?
I don't have time to argue with you; I'm preparing the food.,maghoHmeH poH vIghajbe'. Soj vIvutlI'.
My English teacher has advised me to read these books.,paqmeyvam vIlaD 'e' muqeS DIvI' Hol ghojmoHwI'wI'.
Did I fall asleep?,jIQongchoH'a'?
I wish you hadn't told that story to my mother.,SoSwI' Daja'pu'be' 'e' vIneH.
I know that you know that I know.,jISov 'e' DaSov 'e' vISov.
The tip of the spear was dipped in a deadly poison.,HoHlaHbogh tarDaq naQjejvetlh QIn lanlu'pu'.
Let me leave!,jImej 'e' yIchaw'!
How do I delete a sentence?,chay' mu'tlhegh vIteq?
I don't speak fast.,nom jIjatlhbe'.
Nobody knows the truth.,vIt Sov pagh.
What is this banana like?,nuq rur banan naHvam?
Those bananas are delicious.,'ey banan naHmeyvetlh.
I'm sure she is going to sing at church tomorrow.,wa'leS chIrghDaq bom ghaH 'e' vIHonbe'.
Say it.,yIjatlh!
I like to eat.,jISoptaH 'e' vItIv.
Do you want to eat?,bISop DaneH'a'?
He is tall.,woch.
I have a house.,juH qach vIghaj.
Let's go home.,juH wIcheghjaj!
"Do you have a brother, Pedro?",loDnI' Daghaj'a' peDro'?
I don't have a brother.,loDnI' vIghajbe'.
I don't have four brothers.,loS loDnI' vIghajbe'.
One hundred is my favorite number.,mI' vImaSqu'bogh 'oH wa'vatlh'e'.
It's raining here.,naDev SIStaH.
I prefer bananas rather than apples.,banan naHmey vImaS; 'epIl naHmey vImaSbe'.
There are too many people here. Let's go somewhere else.,naDev Hutvagh tu'lu'. Ha'! latlh Daq wIjaH!
I want to become an engineer.,jonwI' vImoj vIneH.
I want to buy a cheap dictionary.,mu'ghom qutlh vIje' vIneH.
Don't call me anymore.,HIrI'qa'Qo'!
Do you think I'm joking?,jIqID 'e' DaQub'a'?
That's not a bear anymore. That's bear goo.,mIl'oD mojHa'pu'. DaH mIl'oD HuH 'oH.
That's not a bear anymore. That's bear goo.,mIl'oD mojHa'pu'. DaH mIl'oD chatlh 'oH.
This chicken is too chewy to have been cooked correctly.,tlhoy ngal bo'Deghvam. vutHa'lu'ba'pu'.
I have two brothers and three sisters.,cha' loDnI'pu' wej be'nI'pu' je vIghaj.
This is definitely the best way.,mIw nIv 'oHbej.
I am an electrician.,'ul pat mutlhwI' jIH.
Free advice isn't always good advice.,rut QaQbe' qeS DIlnISbe'lu'bogh.
That burger was terrible!,qabqu' Ha'DIbaHvetlh ghIH tIr ngoghvetlh je!
"You may write in any language you want. On Tatoeba, all languages are equal.",Hoch Hol DamaSbogh Dalo'laH. Tatoeba-Daq lo'laHghach rap lughaj Hoch Holmey.
"As long as you keep quiet, you can stay here.","bItamchugh, naDev bIratlh net chaw'."
To be or not to be?,taH pagh taHbe'?
Could you shut the door?,lojmIt yISoQmoH.
He's behaving oddly.,nuv jum Da.
Thank you so much! I am alive.,qatlho'qu'! jIyIn.
Thank you so much! I am alive.,Satlho'qu'! jIyIn.
"Sadly, many Japanese people died.",Do'Ha' Hegh nIpon nganpu' law'.
My foot hurts.,mu'oy' qamwIj.
I don't get the mistake.,Qagh vIyajbe'.
A cat? asked the old man.,«vIghro'?»; tlhob loD qan.
Smoking is prohibited on the train.,lupwI' mIrDaq tlhIch purlu' net tuch.
I want to be you.,SoH jIH vIneH.
The Hungarian language is better than Esperanto.,maDyar Hol QaQ law' 'eSperanto' Hol QaQ puS.
Don't fight fire with fire.,qul DaghobmeH qul yIlo'Qo'!
"Come on, baby, fight my liar!","Ha', ghu, nepwI'wI' yISuv!"
"If you speak Klingon, I won't understand.",tlhIngan Hol Dajatlhchugh jIyajbe'.
The cat is under the table.,raS bIngDaq 'oHtaH vIghro''e'.
Are you afraid of death?,bIHeghvIp'a'?
Are you afraid of death?,DughIj'a' Hegh?
I find her very impressive.,Dojqu' ghaH 'e' vItu'.
They were ready for action.,ruchrup chaH.
They turned against Germany.,DoyIchlanvaD matlhHa'choH chaH.
They signed the peace treaty.,rojmab luqI'pu'.
They helped him get to Canada.,qa'naDa' SIchmeH luboQta'.
They were not speaking Spanish.,'eSpanya' Hol lujatlhtaHbe'.
They accepted the new government.,qum chu' lulaj.
They expected the British to win.,Qap tuqjIjQa'nganpu' 'e' lupIHpu'.
They arrived in the summer of 1847.,tera' DIS 1847 poH tuj paw chaH.
They urged him to punish the rebels.,lotlhwI'pu' bIj ghaH 'e' luqap.
They were sure he would always fail.,reH luj ghaH 'e' luSovbej.
They asked Lincoln to make a victory speech.,yay SoQ jatlh lInqen 'e' lutlhob.
He wanted to destroy it.,Qaw' neH.
He often accepted bad advice.,pIj qeS qab laj ghaH.
He had called the rebels traitors.,lotlhwI'pu'vaD 'urwI'pu' pong.
He was weak from the loss of blood.,'Iw law' Hutlhmo' puj.
"It was not one battle, but many.","wa' may' 'oHbe', 'ach law'."
A number of people were killed.,'op nuvpu' luHeghmoHlu'pu'.
Thirty-thousand people were killed.,wejnetlh ghotpu' luHoHlu'.
A ceasefire was declared.,rojHom cherlu'.
Lenin ordered them to rebel.,lotlh chaH 'e' ra' lenIn.
A ceasefire began a few hours later.,qaSpu'DI' 'op rep tagh rojHom.
My birthday approaches.,ghoSlI' qoSwIj.
I won't sell this tree shade.,Sorvam QIb vIngevQo'.
This is old news to me.,jIHvaD De' notlh 'oH.
The hawk caught a mouse.,chuSwI' jonta' toQ.
I own a horse.,wa' Sargh vIghaj.
I killed God.,Qun vIHoH.
The terrorists will come down from the mountains in a week.,wa' Hogh pIq HuDmeyvo' ghIr jIvvo'pu'.
I need friends.,juppu' vIghajnIS.
Patience is a virtue.,ghob 'oH tuvlaHghach'e'.
I must help her.,vIQaHnIS.
"I must go, it's late!","jImejnIS, paS!"
Let's go out and eat dinner together from time to time.,rut nItebHa' Qe'Daq 'uQ wISopjaj.
Her idea is better than yours.,qechDaj QaQ law' qechlIj QaQ puS.
Did you know that this is a sentence?,mu'tlhegh 'oH Dochvam 'e' DaSov'a'?
I am Hungarian.,maDyarngan jIH.
I don't know whether I've got the chutzpah to try it.,jInIDmeH yap butlhwIj 'e' vISovbe'.
I own this sentence.,mu'tlheghvam vIghaj jIH.
I don't own this sentence.,mu'tlheghvam vIghajbe' jIH.
"Chris, you're completely wet!",QIS bIyIQchu'!
This is a funny sentence.,mu'tlhegh tlhaQ 'oH Dochvam'e'.
"If you can read this sentence, then you're able to read.",mu'tlheghvam DalaDlaHchugh vaj bIlaDlaH.
Qo'noS is the home planet of the Klingons.,tlhInganpu' juHqo' 'oH Qo'noS'e'.
He's not an idiot.,qoH ghaHbe'.
"Because she was out of the country, she used Skype frequently.","juH SepDajDaq ghaHbe'taHmo', pIj Skype lo'."
Yes. No. Maybe. I don't know.,HIja'. ghobe'. chaq. jISovbe'.
Tie your shoes.,waqmeylIj tIbagh!
"Damn, I was wrong.",ghuy'! jImuj.
"This time, it looks like it is me who is wrong.",DaH jImujlaw' jIH'e'.
It's not surprising!,merbe'!
Lawyers are all liars.,nepwI' ghaH Hoch chut qeSwI''e'.
The rent is too damn high.,'Iq DabmeH qav'ap jay'!
I've been running.,ngugh jIqettaH.
There is a house across the stream.,bIQtIq latlh DopDaq qach tu'lu'.
I am not leaving you.,SoHvo' jImejQo'.
"English is hard, isn't it?",Qatlh DIvI' Hol qar'a'?
She wanted my permission to use the telephone.,ghogh HablI' lo'meH chaw'wIj neH.
Yesterday was hot.,tuj wa'Hu'.
She is a selfish woman.,be' mut ghaH.
The man is eating bread.,tIr ngogh SoptaH loD.
I am learning a little English.,loQ DIvI' Hol vIghojtaH.
I am very tired.,jIDoy'qu'.
"Luke, I am your father.",luq vavlI' jIH.
This door can't be opened in any way.,lojmItvam poSmoHlaH pagh. Qap pagh mIw.
She is just a child.,puq neH ghaHtaH.
He is just a child.,puq neH ghaHtaH.
"If she studied hard, she could pass the exam.",HaDchu'chugh Sov qaD QaplaH.
My father will prepare a tasty meal for me tomorrow.,wa'leS jIHvaD nay' 'ey vut vavwI'.
My daughter is buying milk from the store.,ngevwI' qachvo' nIm je'lI' puqbe'wI'.
People don't buy milk from this store.,ngevwI' qachvamvo' nIm luje'be' nuvpu'.
You're beautiful.,bI'IH.
Don't call me an idiot!,qoH HIpongQo'!
I want to change that.,Dochvam vIchoH vIneH.
I lost myself in your universe.,'u'lIjDaq HewIj vIchIlpu'.
I like to eat hot soup.,chatlh tuj vI'ep 'e' vIparHa'.
The girl is jumping.,SuptaH be'Hom.
Have you stopped beating your wife?,be'nallI' DaqIp 'e' Damevpu''a'?
I'm no expert.,po'wI' jIHbe'.
I am eating a cucumber.,tera' peb'ot vISoplI'.
Interesting.,Daj.
Would you like me to tell the truth?,jIvIt DaneH'a'?
Did you hear Hillary's speech?,*Hillary SoQ DaQoy'a'?
This is the American Embassy.,'amerI'qa' SepjIjQa' rIvSo' 'oH.
"If a figure has three sides, it is a triangle.","wej reDmey ghajchugh mey''e', ra'Duch 'oH."
I see your house.,juH qachlIj vIlegh.
I see his house.,juH qachDaj vIlegh.
"Damn, that sucks!",qabqu' jay'!
I became a woman.,be' vImojta'.
Should I tell them the truth?,chaHvaD jIvItnIS'a'?
We'll be leaving tomorrow.,wa'leS mamej.
He broke the window.,Qorwagh ghorpu'.
He broke the window.,Qorwagh ghorta'.
Tom is my brother.,loDnI'wI' ghaH tu'maS'e'.
To whom did you give the book?,'IvvaD paq Danobta'?
I work at the embassy.,rIvSo'Daq jItoy'.
Your reply is wrong.,bIjangDI' bImuj.
Weren't they satisfied?,yonbe''a' chaH?
Cats hate water.,bIQ lumuS vIghro'mey.
"Don't worry, be happy.",peSaHQo'! peQuch!
I wrote that book.,paqvetlh vIghItlhta' jIH.
They're inside.,qoDDaq chaHtaH.
Damn it! He's escaped me again.,ghuy'cha'! jIHvo' narghqa'ta'!
My home is separated from his by a river.,juHwIj juHDaj je jojDaq bIQtIq tu'lu'.
She speaks Portuguese.,portughal Hol jatlh ghaH.
I don't have enough money.,yapbe' HuchwIj.
I like this cup.,HIvje'vam vIparHa'.
"Sometimes they say, ""I can't go to school today. I'll go tomorrow.""","rut jIjatlh, DaHjaj DuSaQ vIjaHlaHbe', wa'leS vIjaH."
I do not want any bananas at all.,pagh banan naHmey vIneH.
I do not want anybody at all.,vay' vIneHbe'chu'.
"Do you want this orange? ""No, I don't want any orange at all.""","tera' na'ranvam DaneH'a'? ""ghobe', pagh tera' na'ran vIneH."""
Do you speak Swedish?,Suverya' Hol Dajatlh'a'?
Can you tell me how you get to the American Embassy?,jIHvaD 'amerI'qa' SepjIjQa' rIvSo' Daq HIja'!
I would like to buy some postcards.,'op QIn 'echletHom vIje' vIneH.
How much will it be?,Dochvetlh DIlmeH Huch 'ar DaneH?
I speak Swedish.,Suverya' Hol vIjatlh.
Greta is walking to the Embassy.,'amerI'qa' SepjIjQa' rIvSo' pawmeH yItlI' gheta'.
You can understand Swedish.,Suverya' Hol DayajlaH.
We see him every day.,Hoch jaj ghaH wIlegh.
Are they looking at us?,nubejtaH'a'?
Today is a hot day.,jaj tuj 'oH jajvam'e'.
The dog is in the house.,qachDaq 'oHtaH Ha'DIbaH'e'.
The horses are on the farm.,Du'Daq bIHtaH Sarghmey'e'.
They were not in class yesterday.,wa'Hu' paQDI'norgh lujeSbe'.
Choose one.,wa' yIwIv!
Follow me!,HItlha'!
Fetch it and put it on the fire.,yIqem 'ej qulDaq yIlan!
I can't take this shit anymore.,chatlhvam vISIQlaHbe'choH.
All the other boys laughed at him.,ghaHmo' HaghtaH Hoch latlh loDHompu'.
There were too many people there.,pa' Hutvagh tu'lu'.
She advised him to stop working so much.,tlhoy vum 'e' mevnIS 'e' qeS.
She bought a shirt for him.,ghaHvaD yIvbeH je'.
She got him drunk.,loD chechchoHmoHta' be'.
She greets him every morning.,Hoch jaj po van.
She ignored him until he became rich.,mIpchoHpa' ghaH buSHa'pu'.
She is kissing him.,choptaH.
She is kissing him.,loD choptaH be'.
She listens to him.,ghaH 'Ij.
She pointed her finger at him.,ghaHDaq SIqta'.
She said something to him.,ghaHvaD vay' jatlh.
She visits him twice a year.,Hoch DIS cha'logh Such.
She was very rude to him.,ghaHvaD Dochqu'pu'.
She worships him.,Ho'qu'.
She wouldn't speak to him.,ghaHvaD jatlhQo'.
These charred bits are tasty.,'ey 'ay'meyvam meQ.
"Wow, that looks tasty.",'eyqu'law'.
This thing is not a bear. It is the corpse of a bear.,mIl'oD 'oHbe'. mIl'oD lom 'oH.
The noise woke her up.,ghaH vemmoH wab.
I'm glad I'm not a woman.,Do' be' jIHbe'.
His name was forgotten.,pongDaj lIjlu'.
He is now working in France.,DaH vIraSDaq vumtaH.
I want to eat pizza tonight.,DaHjaj choS pItSa' chab vISop vIneH.
"They tell me jokes, and then I forget them.",jIHvaD qID chaH. ghIq vIlIj.
I used to feed my dog twice a day.,roD qaStaHvIS wa' jaj cha'logh Ha'DIbaHwIj vIje'pu'.
"Men have a longer ring finger than index finger, while both fingers tend to be the same length for women.","loD ghopDaq qewwI' tIq law' SIqwI' tIq puS, 'ach motlh be' ghopDaq qewwI' tIq law' SIqwI' tIq rap."
"It is not death that I fear, but dying.",Hegh vIHajbe' 'ach jIHeghvIp.
There is an urgent need for blood donors.,DaH 'Iw nobwI'pu' lupoQqu'lu'.
"I hate so-called ""30 days"" language courses.",«30 jaj» Hol paQDI'norghqoq vImuS.
What's your favorite car?,puH Duj DamaSqu'bogh yIngu'!
What's your favorite Christmas song?,QISmaS bom DamaSqu'bogh yIngu'.
What's your favorite proverb?,vIttlhegh DamaSqu'bogh yIngu'!
What's your favorite word?,mu' DamaSqu'bogh yIngu'!
It's a trap!,nuvonlI'!
My wife likes apple pie a lot.,'epIl naH chab parHa'qu' be'nalwI'.
She can't stop me.,mumevmoHlaHbe'.
He's lying.,nep.
What do you think?,nuq DaQub?
He readily agreed to it.,SIbI' Qochbe'.
She certainly did not hate him.,muSbe'bej.
She certainly did not hate him.,loD muSbe'bejpu' be'.
I am sure she can have no objection.,beplaHbe' 'e' vISovbej.
I may give up soon and just take a nap.,chaq tugh jIjegh 'ej jIDum neH.
He lives all alone in the woods.,nIteb ngem Dab.
She loves coffee.,qa'vIn muSHa'.
I have got beautiful eyes.,mInDu' 'IH vIghaj.
The musician plays the bagpipe.,DIron chu' QoQ muchwI'.
I decided to go abroad to study.,jIHaDmeH SepwIjvo' jImej 'e' vIwuqta'.
Which seats do you like?,quSmey vIparHa'bogh tIngu'!
Why doesn't he tell the truth?,qatlh vItbe'?
I'll show you the city.,veng qa'ang.
I'll show you the city.,veng Sa'ang.
I often think about my deceased mother.,pIj Heghpu'bogh SoSwI' vIqel.
She's got a cat. The cat's white.,wa' vIghro' ghaj. chIS vIghro'vam.
"You seem to know me, but I don't know you.",choSovlaw' 'ach qaSovbe'.
Please give me batteries for a camera.,mIllogh qonwI' 'ul 'aplo'mey HInob!
Excuse me. What's your name?,ponglIj nuqneS?
"Disregarding the ""No Entry"" sign, she pushed open the door and walked inside.",«yI'elQo'» jatlhbogh 'echlet'e' buSHa'mo' lojmIt poSmoH 'ej qoD 'el.
My wife isn't beautiful. Yours is.,'IHbe' be'nalwI'. 'IHbej be'nallI'.
Please wake me up at 6 tomorrow morning.,wa'leS rep jav HIvemmoH.
I can't get rid of that damned sentence!,mu'tlheghvam vIpolHa'laHbe' jay'!
Now I know my situation!,DaH ghu'wIj vISov!
Drink the medicine.,Herghvam yItlhutlh.
Your little girl was born and is doing well.,boghpu' puqbe'lI' 'ej pIv.
"If it rains, I'll stay at home.",SISchugh juHwIjDaq jIratlh.
The hairdresser cut the guest's hair.,meb jIb chIp chIpwI'.
Don't come too close to the fire.,tlhoy qulDaq yISumchoHQo'!
I bought a dozen spoons and two dozen forks.,wa'maH cha' baghneQmey cha'maH loS puq chonnaQmey je vIje'.
This sentence is going to be translated.,mu'tlheghvam mughlu'.
Antimatter is highly unstable.,ngaDHa'qu' rugh.
Are there any bears around here?,naDev mIl'oD tu'lu''a'?
Can I eat my lunch here?,naDev meghwIj vISoplaH'a'?
Do you see that house? That's my house.,juH qachvetlh Dalegh'a'? juH qachwIj 'oH.
Do you talk to your dog?,targhlIjvaD bIjatlh'a'?
Does anyone know the name of the deceased?,nuv Heghpu'bogh pong Sov'a' vay'?
Have you ever dyed your hair?,jIblIj DanguvmoHpu''a'?
Have you ever given money to a beggar?,qoy'wI'vaD Huch Danobta''a'?
I can't believe you're taking pictures of cockroaches.,vetlhmey mIllogh DalIng 'e' vIHarlaHbe'.
I can't tell you everything.,Hoch qaja'laHbe'.
I can't tell you everything.,Hoch Saja'laHbe'.
I don't eat chicken skin.,'uSgheb DIr vISopbe'.
I have no choice but to eat what they serve me.,vIHvaD Soj lujabbogh vISopnIS; latlh vIwIvlaHbe'.
I promise you I'll come early.,jI'eq 'e' vIlay'.
I promise you I'll keep you safe.,qaQan SoHvaD 'e' vIlay'.
I usually eat rice with chopsticks.,ray' tIr vISopmeH motlh Soj naQmey vIlo'.
I'm afraid you'll have to learn to live with the pain.,Do'Ha' 'oy'vam DaSIQ 'e' DaghojnIS.
I've been married three times.,wejlogh jInayta'.
I've been married three times.,wejlogh jISawta'.
My dog ate my homework.,ghIghwIj Soppu' Ha'DIbaHwIj.
Some animals eat their young.,puqmeychaj Sop 'op Ha'DIbaHmey.
That's not true.,teHbe'.
There's nothing that can stop us now.,DaH nubotlaH pagh.
This camera is very expensive.,waghqu' mIllogh qonwI'vam.
Toss your gun on the ground.,yavDaq HIchlIj yIwoD!
"Until that day, I had never eaten dog meat.","qaSpa' jajvetlh, not Ha'DIbaH ghab vISop."
What was that sound?,wabvetlh nuq?
Where were you when the explosion occurred?,jorDI' nuqDaq SoHtaH?
Would you like to sit in the front?,tlhopDaq bIba' DaneH'a'?
You really do speak English quite well.,DIvI' Hol DajatlhmeH bIpo'bej.
The dress I like most is the black one.,paH qIj vImaSqu'.
I can't fly.,jIpuvlaHbe'.
This girl has a pretty face. My heart melts from looking at it.,"qab 'IH ghaj be'Homvam. vIleghmo', vaj tet tIqwIj."
Do you prefer the apple or the pear?,"'epIl naH'e' per naH'e' je DaqelDI', nuq DamaS?"
Does your head hurt?,bIwuQ'a'?
Fear nothing.,pagh yIHaj!
Which train is going to the city center?,veng botlh 'elbogh lupwI' mIr'e' yIngu'!
Haven't you seen the doctor?,Qel vISamta'be''a'?
Today is a good day to die.,Heghlu'meH QaQ jajvam.
I've got a pair of sunglasses.,mIn QanwI' nguv vIghaj.
This soup needs a bit more salt.,loQ chatlhvam na'nISqa'moHlu'.
Come back home.,juH yIchegh!
This CD belongs to my son.,puqloDwI' De' jengva' 'oH De' jengva'vam'e'.
She was wearing a strange hat.,mIw Huj tuQtaH.
"During the US presidential election of 2004, the candidate John Kerry had to hide that he spoke French.",tera' DIS cha'-pagh-pagh-loS 'amerI'qa' SepjIjQa' Qang wIvlu'taHtaHvIS vIraS Hol jatlhlaH 'e' peghnIS jan qerI'.
Nonsense.,Dap.
You might be right.,chaq bIlugh.
He's standing before the door.,lojmIt tlhopDaq QamtaH.
"So, I didn't call for any particular reason; I just wanted to hear your voice. If you're busy, I'll let you go.","toH. chorItmeH meq vIghajbe'. ghoghlIj vIQoy neH vIneH. vay' Data'nISchugh, bImej 'e' vIchaw'."
It's obvious he's wrong.,mujba'.
This chapter is the heart of the novel.,lut qolqoS 'oH 'ay'vam'e'.
This is a horse.,Sargh 'oH Ha'DIbaHvam'e'.
Berlin is a German city.,DoyIchlan veng 'oH berlIn'e'.
Today is my birthday.,qoSwIj 'oH jajvam'e'.
He put milk in his coffee.,qa'vInDajDaq nIm qangpu'.
There's no film in this camera.,mIllogh qonwI'vamDaq qoSta' tu'lu'be'.
The radio is too loud. Please turn the volume down.,tlhoy chuS wab HevwI'. yIchuSHa'moH!
The fight continues!,taH tlhaS!
I'm in Portugal.,portughalDaq jIHtaH.
I want to buy a new car.,puH Duj chu' vIje' vIneH.
What is the use of mathematics?,chay' lI' mI' QeD?
My phone is out of battery.,'ul 'aplo' natlhchu'pu' ghogh HablI'wIj.
You came home at 5:00.,vaghvatlh rep juH Dachegh.
Please tell me. I really want to hear it.,"qatlhobneS, HIja'! vIQoy vIneHqu'."
My father is a skilled fisherman.,ghotI' wamwI' po' ghaH vavwI''e'.
That's complete and utter nonsense!,Dap'a'na' 'oH!
I cleared his doubts.,vIHonHa'choHmoHchu'.
I drink coffee.,qa'vIn vItlhutlh.
The burglar came into the house through this door.,lojmItvamDaq qach 'el nIHwI'.
I won't be responsible for my actions.,jIvangDI' jIngoy'be'.
I won't be responsible for my actions.,jIvangDI' jIngoy'Qo'.
Some people seem to have forgotten what it was like before the war.,noH nungbogh ghu''e' lIjlaw'pu' 'op.
This wine tastes corked!,HIqvam 'eyHa'moHlaw'pu' qorghwI'!
"The hand has five fingers: the thumb, the index finger, the middle finger, the ring finger, and the pinky.","vagh nItlhDu' ghaj ghop: rIlwI', SIqwI', qaywI', qewwI', qanwI' je."
"Although she lives nearby, I rarely see her.",Daq Sum Dab 'ach pIjHa' ghaH vIlegh.
It doesn't work so well because the battery is low.,tlhoS 'ul 'aplo'Daj natlhchu'pu'mo' Qapchu'be'taH.
The battery died out.,'ul 'aplo' natlhlu'chu'pu'.
The clock stopped. It needs a new battery.,QapHa'choHpu' tlhaq. 'ul 'aplo' chu' poQtaH.
I have to replace the radio's battery.,wab HevwI' 'ul 'aplo' vItamnIS.
I have to sleep.,jIQongnIS.
He was sitting and reading a book.,ba'taH ghaH 'ej paq laDtaH.
I'd rather do it by myself.,nIteb vIta' 'e' vImaS.
I'm Finnish.,SuwomIyngan jIH.
I speak English every day.,Hoch jaj DIvI' Hol vIjatlh.
Who are you working for?,'IvvaD bIvum?
A large rock is large; a small one is small.,"tIn nagh tIn, mach machwI'."
I like the green colour.,rItlh SuD vIparHa'.
America is the greatest country in the world.,qo'Daq Sep'e' 'amerI'qa' Dun law' Hoch Dun puS.
America is the greatest country in the world.,qo'Daq Sep nIvqu' 'oH 'amerI'qa''e'.
I'm eating a Japanese pear.,nIpon per naH vISoplI'.
What does Tom want?,nuq neH tam?
Tom's so old.,qanqu' tam!
Tom wore a new coat to school today.,DaHjaj DuSaQDaq wep chu' tuQ.
Tom was convicted and sentenced to death.,DIv tam net noH 'ej muHlu' net wuq.
Tom was afraid to swim.,QalvIp tam.
"Tom really does swim well, doesn't he?",QalmeH po' tam qar'a'?
Tom made a big mistake.,Qaghqu'pu' tam.
Tom isn't going anywhere this afternoon.,DaHjaj pov pagh jaH tam.
Tom is very tall.,wochqu' *Tom.
Tom is still out of the town.,wej veng cheghta' tam.
Tom is short.,run tam.
Tom is certain to come on time.,pawDI' tam paSbe'bej.
Tom is a very talented musician.,QoQ muchwI' po'qu' ghaH tam'e'.
Tom is a very strong man.,loD HoSghajqu' ghaH tam'e'.
Tom has to learn Japanese because he's going to Japan next year.,"wa' ben nIpon jaHmo' tam, nIpon Hol ghojnIS."
Tom has three cousins.,wej vInpu' ghaj tam.
Tom has a new pair of sunglasses.,chu'bogh mIn QanwI' nguv ghaj tam.
Tom had to stay in the hospital for a week.,ropyaH qachDaq ratlhnIStaH qaStaHvIS wa' Hogh.
Tom finally fell asleep.,tagha' QongchoHpu' tam.
Tom fell asleep on the train.,lupwI' mIrDaq QongchoH tam.
Tom enjoys taking pictures.,mIlloghmey qon 'e' tIv tam.
"Tom eats with his left hand, but he writes with his right.",SopmeH *Tom poS ghopDaj lo' ghaH 'ach ghItlhmeH ghaH nIH ghopDaj lo' ghaH.
"Tom drives a black car, doesn't he?",puH Duj qIj chIj tam qar'a'?
Tom doesn't want dinner.,'uQ neHbe' tam.
Tom doesn't understand French at all.,vIraS Hol yajbe'chu' tam.
Tom doesn't remember my name.,pongwIj qawbe' tam.
Tom doesn't need to answer right away.,SIbI' jangnISbe' tam.
Tom doesn't have to go there by himself.,"pa' ghoSDI' tam, mobnISbe'."
Tom doesn't eat meat.,Ha'DIbaH Sopbe' tam.
Tom did it by himself.,nIteb ta'ta' tam.
Tom brought plenty of food.,Soj law' qemta' tam.
Tom began to talk.,jatlhchoH *Tom.
It looks like Tom will eat the whole thing.,Dochvam naQ Sopruplaw' tam.
I doubt that Tom is happy.,Quch tam 'e' vIHon.
Tom slit Mary's throat.,me'rIy' Hugh SIj tam.
Tom sat next to Mary.,me'rIy retlhDaq ba' tam.
Tom sat down beside Mary.,me'rIy' retlhDaq ba'choH tam.
Tom recognized Mary as soon as he saw her.,me'rIy' leghDI' tam SIbI' ghov.
Tom noticed that Mary was following him.,ghaH tlha'taH *Mary 'e' tlhoj *Tom.
Tom must be Mary's brother.,me'rIy' loDnI' ghaHba' tam'e'.
Tom is Mary's grandfather.,merI' vavnI' ghaH tom'e'.
Tom is in the kitchen with Mary cooking dinner.,nItebHa' vutpa'Daq 'uQ luvutlI' tam me'rIy' je.
Tom has never met Mary.,not me'rIy' ghompu' tam.
Tom has been honest with Mary.,me'rIy'vaD yuDHa' tam.
Tom doubts Mary's sincerity.,'Il me'rIy' 'e' Hon tam.
Tom doubts if Mary will come to school today.,DaHjaj DuSaQDaq SaH me'rIy' 'e' Hon tam.
Tom doesn't like Mary.,me'rIy' parHa'be' tam.
Tom doesn't agree with Mary.,Qochchuq tom merI' je.
Tom can swim as fast as Mary can.,nom QallaH tam; me'rIy' rur.
Tom argued with Mary about money.,Huchmo' ghoH tam me'rIy' je.
Tom and Mary detest each other.,muSchuq tam me'rIy' je.
Mary is Tom's granddaughter.,tam puqnI'be' ghaH me'rI''e'.
"If you want to be free, destroy your television set.",bItlhab DaneHchugh HaSta jIHlIj yIQaw'!
Where are the shoes?,nuqDaq bIHtaH waqmey'e'?
Your name was deleted from the list.,tetlhvo' ponglIj teqlu'.
"If a brain can do it, a computer can do it.","ta'laHchugh QoghIj, ta'laH De'wI'."
Does anybody know how the fire started?,chay' chenpu' qul? Sov'a' vay'?
Earth is not the centre of the world.,qo' botlh 'oHbe' tera''e'.
We don't like rain.,SIS 'e' wIpar.
This sentence contains an error.,Qagh ngaS mu'tlheghvam.
Close the damn door!,lojmIt yIpoSmoH jay'!
Close the damned door!,lojmIt yIpoSmoH jay'!
I'd like to kiss you.,qachop vIneH.
"Land of liberty, land of the future, I salute you!","tlhab Sep, pIq Sep, SoH qavan!"
"She has 2,000 books.",2000 paqmey ghaj.
"I don't like the sun. I prefer the rain, and dance under it.",jul vIpar. SIS 'ej SIStaHvIS jImI' 'e' vImaS.
He has strange ideas.,qechmey Huj ghaj.
What do I need to do now?,DaH nuq vIta'nIS?
I have to buy a new carpet for this room.,pa'vamvaD tlhIm chu' vIje'nIS.
Jim's not a lawyer. He's a doctor.,chut po'wI' ghaHbe' jIm'e'. Qel ghaH.
Everyone but Tom was there.,pa' ghaHbe'taH tam'e' 'ach pa' chaHtaH Hoch latlh'e'.
Winter is coming.,tugh tagh poH bIr.
The tea is very tasty.,'eyqu' Darghvam.
Are you back home now?,juH Dacheghta''a'?
The pilot will land the plane.,muD Duj SaqmoH 'orwI'.
My brother is a teacher.,ghojmoHwI' ghaH loDnI'wI''e'.
What should I do to stop hiccoughs?,jIbur 'e' jImevmeH chay' jIvanglaH?
This dish is tasty.,'ey nay'vam.
